Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Atalanta,3,38,38,"3,420",39,1.03,118,80,.678,16,12,10,11,28.9,2,1,1,0
Benevento,3,38,38,"3,418",89,2.34,203,130,.611,6,3,29,4,10.5,13,10,0,3
Bologna,3,38,38,"3,420",52,1.37,164,116,.701,11,6,21,8,21.1,4,3,0,1
Cagliari,3,38,38,"3,420",61,1.61,162,108,.673,11,6,21,8,21.1,12,8,2,2
Chievo,1,38,38,"3,420",59,1.55,180,126,.694,10,10,18,7,18.4,8,4,3,1
Crotone,1,38,38,"3,420",66,1.74,199,138,.698,9,8,21,5,13.2,8,6,1,1
Fiorentina,2,38,38,"3,419",46,1.21,152,105,.711,16,9,13,14,36.8,3,2,1,0
Genoa,2,38,38,"3,420",43,1.13,170,133,.771,11,8,19,12,31.6,4,4,0,0
Hellas Verona,2,38,38,"3,420",78,2.05,257,186,.720,7,4,27,7,18.4,8,6,2,0
Inter,1,38,38,"3,420",30,0.79,119,94,.765,20,12,6,17,44.7,2,2,0,0
Juventus,3,38,38,"3,420",24,0.63,94,73,.777,30,5,3,22,57.9,4,3,1,0
Lazio,1,38,38,"3,420",49,1.29,153,112,.739,21,9,8,11,28.9,11,9,1,1
Milan,1,38,38,"3,420",42,1.11,131,92,.695,18,10,10,12,31.6,3,2,0,1
Napoli,2,38,38,"3,420",29,0.76,99,71,.727,28,7,3,19,50.0,2,2,0,0
Roma,2,38,38,"3,420",28,0.74,138,110,.819,23,8,7,18,47.4,5,3,2,0
Sampdoria,3,38,38,"3,420",60,1.58,193,140,.720,16,6,16,9,23.7,10,6,4,0
Sassuolo,2,38,38,"3,420",59,1.55,177,122,.678,11,10,17,10,26.3,3,2,1,0
SPAL,3,38,38,"3,420",59,1.55,192,144,.740,8,14,16,7,18.4,13,9,3,1
Torino,2,38,38,"3,420",46,1.21,164,123,.750,13,15,10,10,26.3,8,5,3,0
Udinese,2,38,38,"3,420",63,1.66,163,107,.626,12,4,22,9,23.7,6,2,3,1
