Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,25,20966,19111,1855,473,21,3404,731,764,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,16813,68,68,375,509
Benevento,41,17812,16066,1746,490,16,2925,509,675,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,14168,75,24,260,428
Bologna,30,17602,15743,1859,496,17,2898,538,550,149,79,10,10,10642,2690,4270,4608,10552,891,787,262,13638,60,10,262,459
Cagliari,29,16636,14680,1956,496,13,2616,554,748,177,44,54,13,8712,2708,5216,3435,10462,1014,835,319,12167,75,54,246,431
Chievo,25,16823,14978,1845,498,10,2492,588,808,146,52,31,24,9443,2571,4809,4052,10436,869,749,294,12575,95,31,244,416
Crotone,29,14837,13036,1801,472,9,2429,410,652,132,48,13,15,7248,2801,4788,5189,7114,1004,766,213,10310,77,13,234,486
Fiorentina,27,19375,17622,1753,421,22,2972,558,831,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,15290,69,79,266,460
Genoa,33,17523,15700,1823,462,20,2481,492,782,179,54,34,16,10564,2367,4592,6313,8843,884,777,235,13219,79,34,285,481
Hellas Verona,32,15515,13725,1790,411,8,2432,581,680,139,23,33,16,8526,2826,4163,4572,8689,780,748,326,11493,69,33,244,457
Inter,22,22641,20921,1720,387,21,3472,637,1046,275,59,55,37,15703,3089,3849,4231,16236,780,726,362,18754,83,55,330,489
Juventus,24,23398,21895,1503,423,25,3135,917,675,175,21,46,12,16564,3083,3751,8817,12578,788,661,257,20058,73,46,264,427
Lazio,24,20212,18625,1587,342,42,3064,616,747,212,41,41,9,13516,2770,3926,4246,13804,840,697,307,16308,87,41,325,501
Milan,23,21543,19913,1630,445,19,3428,691,884,239,42,25,15,15038,2317,4188,6180,13449,722,682,245,17744,73,25,313,458
Napoli,23,29004,27360,1644,361,55,3884,674,674,236,54,20,33,21142,4307,3555,6460,20370,833,792,288,24985,72,20,456,522
Roma,27,21399,19701,1698,418,41,3211,700,956,261,45,30,9,14338,2929,4132,7233,11806,862,773,315,17296,60,30,317,519
Sampdoria,27,20144,18275,1869,545,24,2929,546,789,220,64,52,23,13073,2842,4229,6569,11410,821,748,245,16148,45,52,313,469
Sassuolo,28,15749,13879,1870,546,17,2498,554,794,193,50,32,12,8521,2542,4686,5739,7611,928,770,245,11498,70,32,257,488
SPAL,29,16025,14112,1913,632,17,2782,496,740,172,47,53,13,9514,2235,4276,4295,9639,743,701,232,12213,82,53,193,436
Torino,27,18318,16418,1900,516,19,3043,601,616,167,41,30,10,11358,2734,4226,4984,10920,830,859,299,14426,63,30,252,486
Udinese,27,16647,14800,1847,422,21,2249,471,719,175,41,42,13,10034,2353,4260,6066,8246,835,852,271,12619,46,42,242,413
