Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Atalanta,25,55.2,25771,2066,7492,12493,7535,1202,23989,485,740,65.5,522,16,17534,105105,56208,19093,16813,88.1,553,554
Benevento,41,47.7,22161,2698,8464,10497,4845,664,20461,471,751,62.7,519,30,14878,96650,54783,16300,14168,86.9,472,470
Bologna,30,47.2,22199,2656,8070,10637,4846,621,20366,400,632,63.3,430,19,14001,81223,43305,15943,13638,85.5,558,461
Cagliari,29,45.2,20989,2325,7222,10018,4876,745,19087,283,484,58.5,317,11,12282,66949,35167,14590,12167,83.4,475,393
Chievo,25,44.3,21314,2548,7246,10009,5301,695,19516,288,478,60.3,306,7,12953,71442,36573,14883,12575,84.5,412,416
Crotone,29,40.1,19531,2466,6947,9135,4536,632,17761,291,501,58.1,317,15,11132,63840,34373,12903,10310,79.9,550,399
Fiorentina,27,52.6,24197,2173,7374,12146,6138,928,22481,388,655,59.2,416,21,15866,88584,49132,17491,15290,87.4,481,474
Genoa,33,46.3,21764,2297,7053,10463,5668,791,19988,346,537,64.4,380,26,13850,80428,44882,15696,13219,84.2,492,446
Hellas Verona,32,41.8,20118,3000,8023,9000,4434,552,18377,426,691,61.6,468,30,12340,78754,43228,13890,11493,82.7,486,463
Inter,22,56.9,26782,2329,7789,13554,7207,1048,25125,393,666,59.0,436,26,18562,106476,60127,21018,18754,89.2,421,369
Juventus,24,57.1,27526,2134,7990,14456,6798,881,26050,447,696,64.2,484,23,20054,105714,54686,22157,20058,90.5,487,436
Lazio,24,51.1,24559,2214,7838,11757,6754,1092,23023,466,751,62.1,501,32,16833,104512,60332,18777,16308,86.9,541,451
Milan,23,55.9,25668,2120,7429,12728,7138,974,24087,312,478,65.3,344,14,18087,95237,52569,19838,17744,89.4,455,413
Napoli,23,63.2,32977,1901,7143,18407,9349,1092,31365,381,697,54.7,421,30,23717,109073,65052,27690,24985,90.2,450,404
Roma,27,58.0,25759,2228,7179,12747,7638,1107,24092,429,715,60.0,475,21,18030,108454,58553,19799,17296,87.4,493,467
Sampdoria,27,53.4,24643,2384,6950,13043,6198,845,22817,415,663,62.6,447,18,16020,85725,48474,18390,16148,87.8,492,518
Sassuolo,28,43.2,20244,2362,6723,9109,5636,746,18434,332,551,60.3,370,12,12282,75304,40401,14016,11498,82.0,425,480
SPAL,29,45.1,20466,2421,7272,9830,4724,606,18598,404,603,67.0,435,16,12892,77630,44056,14137,12213,86.4,437,452
Torino,27,51.0,22935,2555,8018,10686,5740,818,21090,447,719,62.2,477,20,14920,92435,48676,16627,14426,86.8,527,539
Udinese,27,44.7,21100,2346,7194,10296,4907,690,19285,323,552,58.5,345,13,13063,77366,41373,14782,12619,85.4,428,457
