Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,27,708,470,337,284,87,708,718,39.8,432,5905,1777,30.1,337,284,87,575,104,2,471,464,1172,749,9
Bologna,29,692,420,379,235,78,692,675,35.7,434,6892,1768,25.7,379,235,78,645,159,2,486,385,1077,843,16
Cagliari,30,651,421,293,250,108,651,624,35.6,402,5728,1482,25.9,293,250,108,604,133,1,471,348,999,858,12
Chievo,36,687,460,354,257,76,687,711,35.0,462,7284,1728,23.7,354,257,76,608,135,2,473,490,1177,955,12
Empoli,29,590,372,286,222,82,590,547,35.3,354,6206,1535,24.7,286,222,82,555,148,4,407,336,926,758,5
Fiorentina,27,621,404,295,262,64,621,574,37.1,361,5521,1467,26.6,295,262,64,594,136,3,458,418,1039,901,8
Frosinone,33,596,385,336,197,63,596,603,34.2,397,6617,1627,24.6,336,197,63,563,155,0,408,398,994,961,6
Genoa,31,740,470,374,277,89,740,686,41.5,401,6258,1638,26.2,374,277,89,541,126,3,415,435,1175,965,7
Inter,23,640,401,284,254,102,640,664,34.9,432,5944,1641,27.6,284,254,102,519,121,1,398,314,954,635,6
Juventus,31,583,383,270,227,86,583,577,36.9,364,5679,1494,26.3,270,227,86,534,140,3,394,413,996,655,11
Lazio,30,671,434,308,273,90,671,693,34.3,455,5778,1619,28.0,308,273,90,615,154,0,461,431,1102,734,10
Milan,23,684,453,359,238,87,684,708,35.6,456,6489,1714,26.4,359,238,87,585,124,2,461,381,1065,842,14
Napoli,26,657,446,280,266,111,657,690,36.7,437,6255,1634,26.1,280,266,111,522,114,3,408,359,1016,554,4
Parma,31,581,366,334,196,51,581,626,31.2,431,6728,1538,22.9,334,196,51,686,189,4,497,411,992,1132,9
Roma,26,543,351,239,221,83,543,646,34.1,426,5885,1482,25.2,239,221,83,571,168,0,403,416,959,839,10
Sampdoria,24,668,411,310,258,100,668,648,37.8,403,6143,1572,25.6,310,258,100,620,128,0,492,370,1038,770,11
Sassuolo,29,577,378,310,198,69,577,527,34.9,343,5512,1437,26.1,310,198,69,522,121,6,401,390,967,808,12
SPAL,28,613,389,335,212,66,613,619,39.4,375,5607,1381,24.6,335,212,66,607,157,2,450,396,1009,859,10
Torino,25,683,469,308,283,92,683,589,35.0,383,5915,1733,29.3,308,283,92,689,130,2,559,446,1129,850,6
Udinese,32,691,427,378,243,70,691,681,39.2,414,6205,1460,23.5,378,243,70,675,165,3,510,391,1082,1000,7
