Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,27,57.2,38,418,"3,420",75,60,2,4,62,3,75,60,3.55,1.92,3.50,66.8,63.8,50.1,66.8,50.1,3.08,63.8,3.00
Bologna,29,45.2,38,418,"3,420",45,35,5,5,91,6,45,35,2.11,1.05,1.97,47.3,43.5,30.7,47.3,30.7,2.05,43.5,1.95
Cagliari,30,49.9,38,418,"3,420",36,27,2,3,94,9,36,27,1.66,0.89,1.61,39.2,36.9,27.4,39.2,27.4,1.75,36.9,1.69
Chievo,36,43.5,38,418,"3,420",25,17,4,6,110,7,25,17,1.11,0.55,1.00,35.9,31.6,23.1,35.9,23.1,1.55,31.6,1.44
Empoli,29,47.9,38,418,"3,420",48,36,4,7,73,3,48,36,2.21,1.16,2.11,52.1,46.7,33.9,52.1,33.9,2.26,46.7,2.12
Fiorentina,27,50.3,38,418,"3,420",45,24,5,6,89,5,45,24,1.82,1.05,1.68,52.3,47.7,33.7,52.3,33.7,2.26,47.7,2.14
Frosinone,33,41.4,38,418,"3,420",28,21,4,5,99,2,28,21,1.29,0.63,1.18,35.6,31.9,24.8,35.6,24.8,1.59,31.9,1.49
Genoa,31,43.2,38,418,"3,420",37,26,4,5,94,7,37,26,1.66,0.87,1.55,43.7,39.9,27.2,43.7,27.2,1.87,39.9,1.77
Inter,23,59.4,38,418,"3,420",57,36,8,9,73,3,57,36,2.45,1.29,2.24,64.4,57.6,44.4,64.4,44.4,2.86,57.6,2.68
Juventus,31,55.9,38,418,"3,420",66,44,7,8,76,4,66,44,2.89,1.55,2.71,58.3,52.3,37.0,58.3,37.0,2.51,52.3,2.35
Lazio,30,50.9,38,418,"3,420",54,35,6,6,89,4,54,35,2.34,1.26,2.18,56.4,51.9,38.9,56.4,38.9,2.51,51.9,2.39
Milan,23,54.0,38,418,"3,420",52,35,3,4,80,5,52,35,2.29,1.29,2.21,48.3,45.3,35.1,48.3,35.1,2.19,45.3,2.11
Napoli,26,59.1,38,418,"3,420",73,54,3,4,72,5,73,54,3.34,1.84,3.26,68.3,65.6,54.0,68.3,54.0,3.22,65.6,3.15
Parma,31,37.7,38,418,"3,420",40,22,4,5,82,3,40,22,1.63,0.95,1.53,38.5,34.7,22.4,38.5,22.4,1.60,34.7,1.50
Roma,26,51.4,38,418,"3,420",66,41,6,6,88,2,66,41,2.82,1.58,2.66,64.2,59.6,43.3,64.2,43.3,2.83,59.6,2.71
Sampdoria,24,55.1,38,418,"3,420",60,41,10,12,89,3,60,41,2.66,1.32,2.39,49.6,40.6,31.8,49.6,31.8,2.14,40.6,1.91
Sassuolo,29,53.8,38,418,"3,420",50,33,5,5,87,8,50,33,2.18,1.18,2.05,46.4,42.6,31.0,46.4,31.0,2.04,42.6,1.94
SPAL,28,50.5,38,418,"3,420",44,30,7,8,112,3,44,30,1.95,0.97,1.76,41.4,35.4,23.4,41.4,23.4,1.71,35.4,1.55
Torino,25,51.1,38,418,"3,420",50,31,5,6,88,4,50,31,2.13,1.18,2.00,49.4,44.9,33.7,49.4,33.7,2.19,44.9,2.07
Udinese,32,42.5,38,418,"3,420",38,30,3,8,90,4,38,30,1.79,0.92,1.71,41.5,35.2,27.2,41.5,27.2,1.81,35.2,1.64
