Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,48,6,2,4,3,40.0,0.27,-5.0,-0.13,200,455,44.0,455,202,34.3,35.6,455,34.3,35.6,238,19,8.0,44,1.16,16.1
Bologna,2,38.0,65,6,2,6,1,57.9,0.29,-6.1,-0.16,199,449,44.3,449,220,37.1,35.1,449,37.1,35.1,323,46,14.2,16,0.42,13.1
Brescia,3,38.0,79,9,1,10,3,75.7,0.30,-0.3,-0.01,206,521,39.5,521,213,47.2,40.4,521,47.2,40.4,449,30,6.7,16,0.42,13.0
Cagliari,3,38.0,56,7,0,3,3,55.3,0.27,+2.3,+0.06,227,608,37.3,608,145,54.2,42.8,608,54.2,42.8,447,31,6.9,11,0.29,11.4
Fiorentina,3,38.0,48,9,2,6,0,49.2,0.28,+1.2,+0.03,166,472,35.2,472,231,40.7,37.3,472,40.7,37.3,371,25,6.7,19,0.50,12.8
Genoa,2,38.0,73,7,3,8,2,68.8,0.33,-2.2,-0.06,235,614,38.3,614,178,46.3,39.6,614,46.3,39.6,392,20,5.1,12,0.32,12.0
Hellas Verona,2,38.0,51,9,2,10,1,48.9,0.26,-1.1,-0.03,207,755,27.4,755,88,65.3,47.6,755,65.3,47.6,381,18,4.7,9,0.24,12.2
Inter,2,38.0,36,3,0,6,1,35.7,0.28,+0.7,+0.02,158,308,51.3,308,201,24.4,29.6,308,24.4,29.6,369,22,6.0,12,0.32,11.8
Juventus,3,38.0,43,9,1,6,0,42.3,0.22,-0.7,-0.02,131,239,54.8,239,197,26.1,31.4,239,26.1,31.4,295,12,4.1,29,0.76,15.3
Lazio,1,38.0,42,7,1,8,1,45.3,0.27,+4.3,+0.11,202,453,44.6,453,149,40.7,34.5,453,40.7,34.5,282,15,5.3,17,0.45,13.9
Lecce,2,38.0,85,11,1,13,3,90.2,0.34,+8.2,+0.22,171,418,40.9,418,221,37.1,35.1,418,37.1,35.1,443,25,5.6,13,0.34,13.3
Milan,3,38.0,46,5,1,7,1,50.5,0.29,+5.5,+0.14,236,501,47.1,501,183,38.8,34.6,501,38.8,34.6,326,31,9.5,22,0.58,14.8
Napoli,2,38.0,50,7,1,5,1,45.7,0.30,-3.3,-0.09,103,242,42.6,242,143,23.6,28.2,242,23.6,28.2,280,19,6.8,15,0.39,12.9
Parma,2,38.0,57,7,1,10,0,58.1,0.26,+1.1,+0.03,287,586,49.0,586,130,49.5,40.9,586,49.5,40.9,424,14,3.3,8,0.21,12.8
Roma,3,38.0,51,9,1,5,0,49.3,0.28,-1.7,-0.04,205,445,46.1,445,214,34.8,33.5,445,34.8,33.5,296,20,6.8,28,0.74,14.5
Sampdoria,2,38.0,65,8,0,11,4,58.4,0.30,-2.6,-0.07,211,587,35.9,587,141,49.6,41.0,587,49.6,41.0,414,32,7.7,20,0.53,14.2
Sassuolo,3,38.0,63,8,1,9,4,59.7,0.31,+0.7,+0.02,160,390,41.0,390,169,32.6,31.7,390,32.6,31.7,349,28,8.0,23,0.61,14.6
SPAL,3,38.0,74,7,3,5,3,70.5,0.29,-3.5,-0.09,270,639,42.3,639,202,46.5,38.1,639,46.5,38.1,398,29,7.3,16,0.42,13.3
Torino,3,38.0,68,10,3,10,3,68.4,0.30,+3.4,+0.09,312,645,48.4,645,121,47.3,39.5,645,47.3,39.5,394,25,6.3,15,0.39,13.3
Udinese,1,38.0,51,8,2,6,0,53.8,0.25,+2.8,+0.07,218,491,44.4,491,171,40.9,36.3,491,40.9,36.3,364,38,10.4,15,0.39,12.2
